Data;PIB mensal
1/1/1990;0,20
2/1/1990;0,40
3/1/1990;0,80
4/1/1990;0,70
5/1/1990;0,80
6/1/1990;0,80
7/1/1990;0,90
8/1/1990;1,00
9/1/1990;1,10
10/1/1990;1,40
11/1/1990;1,70
12/1/1990;1,80
1/1/1991;2,10
2/1/1991;2,40
3/1/1991;2,50
4/1/1991;3,10
5/1/1991;3,60
6/1/1991;4,10
7/1/1991;4,60
8/1/1991;5,30
9/1/1991;5,60
10/1/1991;7,50
11/1/1991;9,20
12/1/1991;10,50
1/1/1992;13,10
2/1/1992;16,30
3/1/1992;19,60
4/1/1992;23,60
5/1/1992;30,10
6/1/1992;37,50
7/1/1992;46,10
8/1/1992;56,70
9/1/1992;70,80
10/1/1992;89,00
11/1/1992;110,40
12/1/1992;127,70
1/1/1993;164,00
2/1/1993;206,90
3/1/1993;294,60
4/1/1993;368,10
5/1/1993;481,60
6/1/1993;613,50
7/1/1993;841,40
8/1/1993;1149,50
9/1/1993;1578,40
10/1/1993;2071,30
11/1/1993;2792,80
12/1/1993;3534,90
1/1/1994;4562,80
2/1/1994;5793,00
3/1/1994;8520,40
4/1/1994;12828,80
5/1/1994;20504,20
6/1/1994;33126,60
7/1/1994;40788,00
8/1/1994;43873,40
9/1/1994;43836,20
10/1/1994;45234,90
11/1/1994;45926,20
12/1/1994;44210,20
1/1/1995;47028,60
2/1/1995;49954,50
3/1/1995;60024,30
4/1/1995;57789,50
5/1/1995;56350,50
6/1/1995;56726,20
7/1/1995;58788,10
8/1/1995;60950,30
9/1/1995;60610,80
10/1/1995;63428,10
11/1/1995;67762,90
12/1/1995;66577,70
1/1/1996;64133,30
2/1/1996;62202,20
3/1/1996;62987,80
4/1/1996;64019,10
5/1/1996;69488,70
6/1/1996;71103,00
7/1/1996;74969,90
8/1/1996;74798,80
9/1/1996;71744,60
10/1/1996;77200,10
11/1/1996;80449,10
12/1/1996;81667,10
1/1/1997;77582,60
2/1/1997;71072,80
3/1/1997;70461,60
4/1/1997;73576,40
5/1/1997;78110,80
6/1/1997;81202,40
7/1/1997;82058,70
8/1/1997;82132,50
9/1/1997;81987,30
10/1/1997;87297,20
11/1/1997;85390,10
12/1/1997;81216,80
1/1/1998;79363,90
2/1/1998;75828,10
3/1/1998;80508,70
4/1/1998;81166,10
5/1/1998;85207,50
6/1/1998;85562,40
7/1/1998;86938,50
8/1/1998;86371,30
9/1/1998;84733,50
10/1/1998;87302,80
11/1/1998;86316,50
12/1/1998;83051,80
1/1/1999;80936,30
2/1/1999;80929,10
3/1/1999;88802,60
4/1/1999;87739,00
5/1/1999;89223,00
6/1/1999;91746,90
7/1/1999;91230,40
8/1/1999;92283,40
9/1/1999;90611,80
10/1/1999;95872,40
11/1/1999;99563,10
12/1/1999;98772,50
1/1/2000;92576,60
2/1/2000;91770,40
3/1/2000;92579,90
4/1/2000;91376,20
5/1/2000;98727,00
6/1/2000;102685,40
7/1/2000;103410,40
8/1/2000;105177,80
9/1/2000;100307,60
10/1/2000;106951,10
11/1/2000;107678,00
12/1/2000;105851,60
1/1/2001;102530,70
2/1/2001;101635,30
3/1/2001;108303,80
4/1/2001;107572,00
5/1/2001;111202,20
6/1/2001;104949,40
7/1/2001;110758,90
8/1/2001;113064,70
9/1/2001;108700,80
10/1/2001;116139,00
11/1/2001;117882,00
12/1/2001;113016,70
1/1/2002;112374,80
2/1/2002;111477,10
3/1/2002;118444,70
4/1/2002;120385,90
5/1/2002;123552,50
6/1/2002;123424,40
7/1/2002;126856,60
8/1/2002;127800,10
9/1/2002;125137,80
10/1/2002;133125,40
11/1/2002;135966,60
12/1/2002;130241,20
1/1/2003;125711,10
2/1/2003;131383,00
3/1/2003;140147,50
4/1/2003;141003,20
5/1/2003;140058,20
6/1/2003;137926,00
7/1/2003;144626,00
8/1/2003;144367,20
9/1/2003;150356,60
10/1/2003;158352,20
11/1/2003;154756,80
12/1/2003;149262,60
1/1/2004;142458,50
2/1/2004;141650,70
3/1/2004;160674,20
4/1/2004;159111,30
5/1/2004;160113,80
6/1/2004;162569,90
7/1/2004;168215,10
8/1/2004;168069,30
9/1/2004;168968,00
10/1/2004;174389,40
11/1/2004;178016,00
12/1/2004;173515,10
1/1/2005;161645,20
2/1/2005;159967,20
3/1/2005;178097,90
4/1/2005;177915,90
5/1/2005;178126,30
6/1/2005;179515,20
7/1/2005;181671,60
8/1/2005;186714,70
9/1/2005;184472,80
10/1/2005;192952,20
11/1/2005;196416,40
12/1/2005;193089,00
1/1/2006;181703,80
2/1/2006;176995,30
3/1/2006;195571,40
4/1/2006;188584,20
5/1/2006;198732,60
6/1/2006;194660,10
7/1/2006;203497,80
8/1/2006;208796,10
9/1/2006;205553,80
10/1/2006;219040,80
11/1/2006;220983,20
12/1/2006;215330,90
1/1/2007;206665,40
2/1/2007;201550,60
3/1/2007;223206,90
4/1/2007;218922,40
5/1/2007;227533,90
6/1/2007;224198,40
7/1/2007;230915,00
8/1/2007;233903,00
9/1/2007;227028,00
10/1/2007;245688,90
11/1/2007;243269,50
12/1/2007;237380,90
1/1/2008;232828,50
2/1/2008;231983,80
3/1/2008;247243,00
4/1/2008;253193,50
5/1/2008;255741,00
6/1/2008;260590,70
7/1/2008;271286,30
8/1/2008;268548,10
9/1/2008;272768,20
10/1/2008;284924,20
11/1/2008;272113,40
12/1/2008;258582,50
1/1/2009;244784,20
2/1/2009;242501,20
3/1/2009;268841,60
4/1/2009;263428,80
5/1/2009;268742,30
6/1/2009;271406,40
7/1/2009;281459,60
8/1/2009;282508,70
9/1/2009;288874,90
10/1/2009;309134,70
11/1/2009;307944,40
12/1/2009;303412,30
1/1/2010;284389,30
2/1/2010;283356,40
3/1/2010;318651,70
4/1/2010;311651,00
5/1/2010;315947,50
6/1/2010;316546,60
7/1/2010;328891,30
8/1/2010;332382,60
9/1/2010;336660,80
10/1/2010;350937,70
11/1/2010;358427,10
12/1/2010;348004,90
1/1/2011;327590,90
2/1/2011;332322,40
3/1/2011;356617,40
4/1/2011;354617,80
5/1/2011;368272,70
6/1/2011;363821,70
7/1/2011;367333,10
8/1/2011;374887,30
9/1/2011;370113,80
10/1/2011;383776,10
11/1/2011;391537,90
12/1/2011;385490,90
1/1/2012;364190,60
2/1/2012;367525,10
3/1/2012;397758,30
4/1/2012;385880,00
5/1/2012;401862,30
6/1/2012;395383,30
7/1/2012;409021,00
8/1/2012;418752,00
9/1/2012;402675,80
10/1/2012;431405,60
11/1/2012;426600,50
12/1/2012;413705,50
1/1/2013;408889,90
2/1/2013;398093,80
3/1/2013;434630,40
4/1/2013;446505,20
5/1/2013;441335,50
6/1/2013;434739,70
7/1/2013;452597,60
8/1/2013;453781,60
9/1/2013;447754,90
10/1/2013;475713,50
11/1/2013;470324,60
12/1/2013;467252,40
1/1/2014;453278,50
2/1/2014;455501,10
3/1/2014;477199,70
4/1/2014;479720,80
5/1/2014;481273,10
6/1/2014;461326,30
7/1/2014;486903,00
8/1/2014;483777,90
9/1/2014;491444,60
10/1/2014;508979,10
11/1/2014;498513,60
12/1/2014;501035,40
1/1/2015;474388,70
2/1/2015;466767,40
3/1/2015;515510,30
4/1/2015;497081,80
5/1/2015;492325,50
6/1/2015;490569,70
7/1/2015;507145,70
8/1/2015;501411,20
9/1/2015;499671,30
10/1/2015;521374,90
11/1/2015;513605,30
12/1/2015;515935,20
1/1/2016;481796,50
2/1/2016;490435,50
3/1/2016;528036,30
4/1/2016;520792,90
5/1/2016;516526,50
6/1/2016;521699,40
7/1/2016;522080,50
8/1/2016;530748,90
9/1/2016;524340,60
10/1/2016;539547,10
11/1/2016;546063,70
12/1/2016;547260,20
1/1/2017;513738,40
2/1/2017;510940,50
3/1/2017;561127,30
4/1/2017;537720,70
5/1/2017;551063,00
6/1/2017;542068,80
7/1/2017;548419,90
8/1/2017;555963,70
9/1/2017;544251,30
10/1/2017;568701,30
11/1/2017;573924,30
12/1/2017;577559,60
1/1/2018;552462,30
2/1/2018;539836,40
3/1/2018;589280,00
4/1/2018;587505,10
5/1/2018;561966,40
6/1/2018;584191,50
7/1/2018;592133,80
8/1/2018;599110,90
9/1/2018;576629,00
10/1/2018;612411,00
11/1/2018;608052,10
12/1/2018;600562,50
1/1/2019;579129,70
2/1/2019;577163,80
3/1/2019;603019,10
4/1/2019;614332,50
5/1/2019;616570,50
6/1/2019;597861,20
7/1/2019;632382,30
8/1/2019;629503,20
9/1/2019;618746,30
10/1/2019;649651,50
11/1/2019;637102,00
12/1/2019;633668,80
1/1/2020;608509,10
2/1/2020;610632,40
3/1/2020;626420,00
4/1/2020;558725,00
5/1/2020;567729,80
6/1/2020;595993,60
7/1/2020;630441,40
8/1/2020;623546,60
9/1/2020;634254,20
10/1/2020;660306,30
11/1/2020;665240,00
12/1/2020;685818,10
1/1/2021;653787,10
2/1/2021;676175,50
3/1/2021;735992,10
4/1/2021;713657,80
5/1/2021;712134,20
6/1/2021;714810,80
7/1/2021;742884,70
8/1/2021;740461,10
9/1/2021;731838,80
10/1/2021;740159,00
11/1/2021;754455,70
12/1/2021;763132,70
1/1/2022;704429,20
2/1/2022;728758,90
3/1/2022;816037,30
4/1/2022;812736,50
5/1/2022;833244,60
6/1/2022;827553,30
7/1/2022;846009,60
